nickname,birthday,created_at,updated_at
ornate,1980-01-01,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
gainful,1982-03-11,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
jersey,1984-04-19,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
transom,1986-11-28,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
heel,1988-10-05,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
adequate,1990-12-14,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
class,1993-02-21,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
ultra,1995-05-02,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
scorched,1997-07-10,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
duck,1999-09-18,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP